Epoch 297: duration loss = 0.335 | prior loss = 1.255 | diffusion loss = 0.112
Epoch 298: duration loss = 0.334 | prior loss = 1.255 | diffusion loss = 0.111
Epoch 299: duration loss = 0.334 | prior loss = 1.255 | diffusion loss = 0.111
Epoch 300: duration loss = 0.335 | prior loss = 1.255 | diffusion loss = 0.111
Epoch 301: duration loss = 0.334 | prior loss = 1.254 | diffusion loss = 0.111
Epoch 302: duration loss = 0.334 | prior loss = 1.254 | diffusion loss = 0.111
Epoch 303: duration loss = 0.334 | prior loss = 1.254 | diffusion loss = 0.111
Epoch 304: duration loss = 0.335 | prior loss = 1.254 | diffusion loss = 0.110
Epoch 305: duration loss = 0.334 | prior loss = 1.254 | diffusion loss = 0.111
Epoch 306: duration loss = 0.333 | prior loss = 1.254 | diffusion loss = 0.111
Epoch 307: duration loss = 0.334 | prior loss = 1.254 | diffusion loss = 0.112
Epoch 308: duration loss = 0.334 | prior loss = 1.254 | diffusion loss = 0.112
Epoch 309: duration loss = 0.334 | prior loss = 1.254 | diffusion loss = 0.110
Epoch 310: duration loss = 0.334 | prior loss = 1.254 | diffusion loss = 0.113
Epoch 311: duration loss = 0.334 | prior loss = 1.253 | diffusion loss = 0.112
Epoch 312: duration loss = 0.333 | prior loss = 1.253 | diffusion loss = 0.108
Epoch 313: duration loss = 0.334 | prior loss = 1.253 | diffusion loss = 0.110
Epoch 314: duration loss = 0.334 | prior loss = 1.253 | diffusion loss = 0.111
Epoch 315: duration loss = 0.334 | prior loss = 1.253 | diffusion loss = 0.109
Epoch 316: duration loss = 0.333 | prior loss = 1.253 | diffusion loss = 0.108
Epoch 317: duration loss = 0.332 | prior loss = 1.253 | diffusion loss = 0.109
Epoch 318: duration loss = 0.332 | prior loss = 1.252 | diffusion loss = 0.113
Epoch 319: duration loss = 0.332 | prior loss = 1.252 | diffusion loss = 0.109
Epoch 320: duration loss = 0.332 | prior loss = 1.252 | diffusion loss = 0.109
Epoch 321: duration loss = 0.332 | prior loss = 1.252 | diffusion loss = 0.114
Epoch 322: duration loss = 0.333 | prior loss = 1.252 | diffusion loss = 0.111
Epoch 323: duration loss = 0.332 | prior loss = 1.253 | diffusion loss = 0.110
Epoch 324: duration loss = 0.332 | prior loss = 1.252 | diffusion loss = 0.110
Epoch 325: duration loss = 0.332 | prior loss = 1.252 | diffusion loss = 0.110
Epoch 326: duration loss = 0.332 | prior loss = 1.252 | diffusion loss = 0.109
Epoch 327: duration loss = 0.331 | prior loss = 1.251 | diffusion loss = 0.108
Epoch 328: duration loss = 0.331 | prior loss = 1.252 | diffusion loss = 0.109
Epoch 329: duration loss = 0.332 | prior loss = 1.252 | diffusion loss = 0.109
Epoch 330: duration loss = 0.332 | prior loss = 1.251 | diffusion loss = 0.109
Epoch 331: duration loss = 0.331 | prior loss = 1.252 | diffusion loss = 0.112
Epoch 332: duration loss = 0.331 | prior loss = 1.251 | diffusion loss = 0.110
Epoch 333: duration loss = 0.332 | prior loss = 1.251 | diffusion loss = 0.112
Epoch 334: duration loss = 0.331 | prior loss = 1.251 | diffusion loss = 0.109
Epoch 335: duration loss = 0.331 | prior loss = 1.250 | diffusion loss = 0.107
Epoch 336: duration loss = 0.332 | prior loss = 1.251 | diffusion loss = 0.110
Epoch 337: duration loss = 0.331 | prior loss = 1.250 | diffusion loss = 0.113
Epoch 338: duration loss = 0.331 | prior loss = 1.251 | diffusion loss = 0.106
Epoch 339: duration loss = 0.331 | prior loss = 1.251 | diffusion loss = 0.111
Epoch 340: duration loss = 0.330 | prior loss = 1.250 | diffusion loss = 0.110
Epoch 341: duration loss = 0.331 | prior loss = 1.250 | diffusion loss = 0.109
